ID,Description
53,"Automobiles, Trucks, Tractors & Trailers"
64,"BDC - Secured - Autos, Trucks, Tractors, Trailers"
63,BDC - Secured - Machinery & Equipment (2015-2026)
66,BDC - Secured -Computer Equipment (50)
65,BDC - Truck < 25000lbs (Securitized)
62,BDC - Truck > 25000lbs (Securitized)
51,Car
56,Computer Equipment (Class 50)
69,IA - Sec Machinery & Equip (2015-2026)
60,IA - Sec Truck < 25000 lbs
68,"IA - Secured - Auto, Trucks Trailers"
67,IA - Secured Trucks > 25000 lbs
61,IA - Securitized Computer Equip
54,Machinery & Equipment (2015-2026)
55,Truck < 25000lbs
52,Truck > 25000lbs
