Lease Number,Asset Group,Year,Make Model,VIN Serial,Finance Source,Equipment Cost,Status
L1197,53,2020,Hyundai 53' Hycube Dry Van Tandem Trailers,3H3V532C3LT079030,Self Finance,43072,ACTV
L1202,68,2020,Lode King Flatdeck 53' Tandem Lift Axle,2LDPF533XLR068591,Industrial Alliance,66470.02,SOLD
L1208,53,2021,Vanguard VXP 53' Trailer w Themoking TK400 Heater,5V8VC5323MM100032,BMO,56520,SOLD
L1208,53,2021,Vanguard VXP 53' Trailer w Themoking TK400 Heater,5V8VC5321MM100028,BMO,56520,SOLD
L1208,53,2021,Vanguard VXP 53' Trailer w Themoking TK400 Heater,5V8VC5325MM100033,BMO,56520,SOLD
L1219,53,2021,Vanguard 53' Tandem Dry Semi- Trailers,5V8VA5320MM101242,BMO,38653,ACTV
L1219,53,2021,Vanguard 53' Tandem Dry Semi- Trailers,5V8VA5322MM101243,BMO,38653,ACTV
L1232,53,2020,Great Dane 53' Tandem Axle w/ hk max heater unit,1GR1P0629LB205260,BMO,59980,ACTV
L1240,53,2021,Reitnouer Maxmiser,1RNF53A26MR052972,BMO,56189,ACTV
L1255,53,2021,Hyundai Dry Vans w/ outside Alu. Rims & Vents,3H3V532C6MT650009,Self Finance,45159,SOLD
L1255,53,2021,Hyundai Dry Vans w/ outside Alu. Rims & Vents,3H3V532C2MT650010,Self Finance,45159,SOLD
L1258,53,2021,Hyundai Composite Heater Van Trailers,3H3V532C8MR403068,BMO,51287.8,ACTV
L1258,53,2021,Hyundai Composite Heater Van Trailers,3H3V532CXMR403069,BMO,51287.8,ACTV
L1258,53,2021,Hyundai Composite Heater Van Trailers,3H3V532CXMR403072,BMO,51287.8,ACTV
L1259,53,2021,Hyundai Composite Heater Van Trailers,3H3V532C7MR403062,BMO,51287.8,ACTV
L1259,53,2021,Hyundai Composite Heater Van Trailers,3H3V532C0MR403064,BMO,51287.8,ACTV
L1281,53,2021,Mac 53' Tandem Axle Flatbed,5MAPA5323MA060188,Self Finance,59775,ACTV
L1289,53,2022,Reitnouer Flatbed Trailer,1RNF53A27NR055915,BMO,58894,ACTV
L1313,53,2022,Utility Dry Vans,1UYVS2534N7445761,Self Finance,43900,SOLD
L1313,53,2022,Utility Dry Vans,1UYVS253XN7445764,Self Finance,43900,SOLD
L1313,53,2022,Utility Dry Vans,1UYVS2536N7445762,Self Finance,43900,SOLD
L1313,53,2022,Utility Dry Vans,1UYVS2538N7445763,Self Finance,43900,SOLD
L1318,53,2021,Trail King Three Axle Live Bottom Trailer,1TKL03934MW016516,BMO,125260,ACTV
L1328,52,2021,Kenworth T680,1XKYDP9X6MJ972125,BMO,170240,ACTV
L1332,53,2022,Stoughton Dry Van Trailer,1DW1A532XNSA60193,BMO,43566.6,ACTV
L1339,53,2022,Utility VS3DX Trailers w/ 2021 Carrier Solara Heating,1UYVS3536N7439904,BMO,66540,ACTV
L1339,53,2022,Utility VS3DX Trailers w/ 2021 Carrier Solara Heating,1UYVS3538N7439905,BMO,66540,ACTV
L1339,53,2022,Utility VS3DX Trailers w/ 2021 Carrier Solara Heating,1UYVS353XN7439906,BMO,66540,ACTV
L1350,53,2020,Hyundai Composite Dry Van Trailers,3H3V532C5LT151023,BMO,41885,ACTV
L1350,53,2020,Hyundai Composite Dry Van Trailers,3H3V532C7LT151024,BMO,41885,ACTV
L1350,53,2020,Hyundai Composite Dry Van Trailers,3H3V532C0LT151026,BMO,41885,ACTV
L1350,53,2020,Hyundai Composite Dry Van Trailers,3H3V532CXLT151101,BMO,41885,ACTV
L1350,53,2020,Hyundai Composite Dry Van Trailers,3H3V532C5LT151104,BMO,41885,ACTV
L1355,53,2021,Trail King Three Axle Live Bottom,1TKL03930MW036763,BMO,124260,SOLD
L1361,53,2021,Raglan Aluminum Pony Pup Dump Trailer,2R9H4S4E2M1011406,BMO,101070,ACTV
L1362,53,2018,Di-Mond Dry Van Trailer,2DM421A43JB157401,Self Finance,30300,SOLD
L1364,53,2022,Utility Tandem Reefer w/ Carrier X4-7300 Reefer,1UYVS2533N2627626,BMO,89476.41,ACTV
L1365,52,2015,Volvo Day Cab,4V4NC9EG5FN909147,Self Finance,51250,SOLD
L1367,53,2018,Manac Heated Dryvan,2M5921618J1175690,Self Finance,35250,ACTV
L1373,52,2022,Volvo VNL760,4V4NC9EH0NN300152,BMO,179500,ACTV
L1378,67,2015,Kenworth T800 tri-axle Dump Truck,1NKDX4TX1FJ976562,Industrial Alliance,110750,ACTV
L1380,53,2019,Wabash Dry Van,1JJV532D3KL112714,Self Finance,40000,ACTV
L1380,53,2017,Utility Dry Van,1UYVS2534H3941865,Self Finance,36000,ACTV
L1382,53,2022,Mac 53' Tandem Flatbed,5MAPA5329NA061444,Self Finance,60135.25,SOLD
L1384,52,2022,Peterbilt 389 Dump Truck w/ 2022 Kline Transfer Box,1NPXL40X8ND766206,BMO,255309.56,ACTV
L1385,67,2016,Freightliner Day Cab,3AKJGEDV9GDGR0704,Industrial Alliance,60000,SOLD
L1388,52,2018,Kenworth T680 Highway,1XKYDP9X4JJ994555,Self Finance,93000,ACTV
L1391,67,2020,Volvo VNR64T640,4V4WC9EHXLN253682,Industrial Alliance,165030.09,ACTV
L1395,53,2022,Hyundai 53' Tandem Dry Van,3H3V532K9NJ541032,BMO,49000,ACTV
L1395,53,2022,Hyundai 53' Tandem Dry Van,3H3V532K0NJ541033,BMO,49000,ACTV
L1395,53,2022,Hyundai 53' Tandem Dry Van,3H3V532K4NJ541035,BMO,49000,ACTV
L1398,52,2016,International Prostar,3HSDJAPR3GN078497,Self Finance,192047.25,STCK
L1404,67,2022,Kenworth T800B,1XKDP4EX0NR983148,Industrial Alliance,230125.5,ACTV
L1406,53,2022,Hyundai Dry Van Trailers,3H3V532K7NJ544012,BMO,49000,ACTV
L1406,53,2022,Hyundai Dry Van Trailers,3H3V532K9NJ544013,BMO,49000,ACTV
L1406,53,2022,Hyundai Dry Van Trailers,3H3V532K0NJ544014,BMO,49000,ACTV
L1407,52,2022,Kenworth T880 Dump Truck c/w Brandon Dump Box,1NKZX4TX1NJ982897,BMO,221283,ACTV
L1412,52,2017,Kenworth T800 Tri Axle Dump Truck,1NKDX4TX5HJ986594,BMO,185750,ACTV
L1413,68,2015,Utility Reefer c/w Thermoking Reefer,1UYVS2536FM078610,Industrial Alliance,45500,ACTV
L1414,52,2007,Freightliner Columbia,1FUJBBCK57LY26917,Self Finance,35400,ACTV
L1426,53,2022,Di-Mond Dry Van Trailer,2DM421A46NS196201,Self Finance,54500,SOLD
L1429,68,2016,Stoughton Dry Vans,1DW1A5327GB623703,Industrial Alliance,38000,SOLD
L1429,68,2016,Stoughton Dry Vans,1DW1A5329GB623704,Industrial Alliance,38000,SOLD
L1429,68,2016,Stoughton Dry Vans,1DW1A5323GB618210,Industrial Alliance,38000,SOLD
L1430,53,2022,Deloupe 53' Scow Semi Trailer,2D9HG5348N1004218,BMO,138940.76,ACTV
L1431,53,2022,Vanguard Dry Van Trailers,5V8VC5328NM201066,BMO,46560,ACTV
L1431,53,2022,Vanguard Dry Van Trailers,5V8VC532XNM201067,BMO,46560,ACTV
L1431,53,2022,Vanguard Dry Van Trailers,5V8VC5321NM201068,BMO,46560,ACTV
L1433,53,2022,Hyundai Dry Van,3H3V532K5NJ090049,BMO,53000,ACTV
L1433,53,2022,Hyundai Dry Van,3H3V532K9NJ090118,BMO,53000,ACTV
L1435,53,2022,CIMC Cool Globe 53' Reefer with Carrier X4 7500,2SHSR5323NS000276,BMO,102072,ACTV
L1436,52,2022,"Freightliner M2 w/ 26' Morgan box, Waltco Liftgate GPTB-3 w/ Extended  Warranty",1FVACXFD0NHNF8227,BMO,138256,ACTV
L1438,53,2022,Hyundai Composite Dry Van Trailers,3H3V532K8NJ303009,BMO,85125,ACTV
L1438,53,2022,Hyundai Composite Dry Van Trailers,3H3V532K6NJ303011,BMO,85125,ACTV
L1443,52,2018,Freightliner Cascadia 126,3AKJHHDR9JSJD9332,BMO,102725,ACTV
L1444,52,2018,Hino 195 w 20ft Box & Hino warranty until Mar 2023,2AYSDM2H5J1002879,BMO,70000,SOLD
