Lease Number,Capital Cost,Cap Cost Adjustment,Downpayment,Trade Amount,Lessee Residual,Lessor Residual,Monthly Depreciation,Monthly Payment,Security Deposit
L1001,46495,0,8980,0,10,10,1071.86,1259,0
L1002,183455,0,60000,0,10,10,2626.49,3304.86,0
L1003,25350,0,2400,0,10,10,655.71,758.69,0
L1004,46300,0,4600,0,10,10,1363.67,1467.86,0
L1005,305936,-241274.6,30193.6,0,10,10,584.2,708.53,0
L1006,39000,0,3850,0,10,10,721.56,903.49,0
L1007,174561,0,16964,0,10,10,3030.71,3606.59,0
L1008,41500,0,7500,0,10,10,1172.07,1324.64,0
L1009,24862.4,0,2350,0,10,10,643.21,744.22,0
L1010,123384.82,0,12200,0,10,10,2316.02,2713.55,0
L1011,171305,0,16340.5,0,10,10,3406.8,4000.97,0
L1012,88750,0,8625,0,10,10,1357.88,1697.48,0
L1014,27037.5,0,2600,0,10,10,1062.07,1171.59,0
L1015,92630,0,8625,0,10,10,1423.64,1849.61,0
L1017,237750,0,11850,0,44000,44000,3031.67,3987.52,0
L1017A,93726.25,0,0,0,22000,22000,1434.53,1861.61,0
L1018,108290,0,10750,0,10,10,2031.88,2575.98,0
L1019,35145,0,3300,0,10,10,1097.76,1211.62,0
L1020,40340.24,0,1905.45,0,10,10,817.55,986.92,0
L1021,87750.2,0,8437.52,0,10,10,1344.11,1630.36,0
L1022,181395,0,17850,0,10,10,4672.43,5329.2,0
L1023,61950,0,100,0,10,10,1766.86,2015.26,0
L1024,35300,0,3500,0,10,10,1096.21,1283.24,0
L1025,95607.78,-9400,0,0,10,10,1593.3,1743.86,1831.05
L1026,20436.8,-1200,0,0,10,10,583.62,658.48,0
L1027,56300,0,5300,0,10,10,1416.39,1667.03,0
L1028,27820,0,4000,0,2000,2000,752.41,956.83,0
L1029,50250,0,2500,0,0,0,1015.96,1209.28,0
L1030,36750,0,100,0,10,10,1017.78,1190.98,0
L1031,43690,0,11500,0,10,10,867.43,1145.2,1315.13
L1031A,29450.29,0,12000,0,250,250,1323.1,1428.5,0
L1032,93598.23,0,5000,0,9312.13,9312.13,1324.8,1696.21,0
L1033,84125,0,3896.25,0,10,10,1706.78,2032.99,0
L1034,35995,0,5025,0,10,10,1138.76,1265.11,0
L1035,34945,0,4875,0,10,10,1105.66,1226.22,0
L1036,43745,0,855.96,0,10,10,726.76,855.96,0
L1037,29543.35,0,1460,0,10,10,475.82,570.46,0
L1039,87715,0,13000,0,10,10,1556.35,1894.08,0
L1040,34745,0,3275,0,10,10,873.89,1022.62,0
L1041,71143.86,0,4000,0,10,10,1428.38,1668.3,0
L1042,42335.11,0,1188.69,0,10,10,1003.33,1188.69,0
L1043,22970,0,2100,0,10,10,596,699.51,0
L1044,125813.43,0,30250,0,10,10,2497.04,2991,0
L1045,52845,0,5035,0,10,10,1327.78,1531.26,0
