Lease Number,Customer Code,Funding Date,Payment Start Date,Total Terms,Interest Rate,Status,tax_code
23119,23119,6/24/2019,7/15/2019,59,1,CANC,ONPG
L1001,23021,8/22/2018,9/15/2018,35,11,SOLD,ONPG
L1002,23012,9/6/2018,10/1/2018,47,12,SOLD,ONPG
L1003,23010,8/31/2018,10/1/2018,35,10,SOLD,SK-1
L1004,23002,8/15/2018,9/15/2018,37,10.25,SOLD,ONPG
L1005,23014,8/28/2018,10/1/2018,59,8.63,SOLD,ABG
L1006,23006,9/13/2018,10/15/2018,49,9,SOLD,ONPG
L1007,23026,10/11/2018,11/15/2018,52,7.99,SOLD,ABG
L1008,23008,9/20/2018,10/15/2018,29,10,SOLD,ONPG
L1009,23010,9/27/2018,11/1/2018,35,10,SOLD,SK-1
L1010,23029,10/22/2018,11/15/2018,50,8,SOLD,ONPG
L1011,23020,11/5/2018,12/1/2018,49,8.25,SOLD,ABG
L1012,23036,10/16/2018,11/15/2018,59,9.25,SOLD,ABG
L1014,23034,10/23/2018,11/15/2018,23,15.69,SOLD,NSPG
L1015,23036,10/30/2018,12/1/2018,59,11,SOLD,ABG
L1017,23043,11/12/2018,12/15/2018,60,8.12,SOLD,ONPG
L1017A,23210,9/15/2019,9/15/2019,50,9.09,SOLD,ONPG
L1018,23041,11/14/2018,12/15/2018,48,12.16,SOLD,ONPG
L1019,23053,11/29/2018,1/1/2019,31,10,SOLD,SK-1
L1020,23055,12/4/2018,1/1/2019,47,9.75,SOLD,ONPG
L1021,23014,12/7/2018,1/1/2019,59,8,SOLD,ABG
L1022,23056,1/15/2019,1/15/2019,35,8.99,SOLD,ONPG
L1023,23057,1/21/2019,2/15/2019,35,8.99,SOLD,ONPG
L1024,23059,1/22/2019,2/15/2019,29,12.99,SOLD,ONPG
L1025,23625,1/28/2019,3/1/2019,60,7.9,SOLD,ABG
L1026,23061,2/23/2019,3/1/2019,35,12.5,SOLD,ONPG
L1027,23062,2/14/2019,3/15/2019,36,10.9,SOLD,ONPG
L1028,23104,2/7/2019,3/1/2019,29,17.4,SOLD,ONPG
L1029,23065,2/11/2019,3/15/2019,47,9,SOLD,SK-1
L1030,23067,2/14/2019,3/15/2019,36,10.5,SOLD,ONPG
L1031,23069,2/20/2019,3/15/2019,39,16.5,SOLD,ONPG
L1031A,23069,7/13/2020,8/15/2020,13,13,SOLD,ONPG
L1032,23072,2/14/2019,3/15/2019,64,8.5,SOLD,ONPG
L1033,23076,2/20/2019,3/15/2019,49,8.99,SOLD,NSPG
L1034,23078,2/21/2019,3/15/2019,30,12,SOLD,ONPG
L1035,23078,2/22/2019,3/15/2019,30,12,SOLD,ONPG
L1036,23082,2/22/2019,3/15/2019,59,6.99,SOLD,ONPG
L1037,23085,2/22/2019,3/15/2019,59,7.5,SOLD,ONPG
L1039,23090,2/27/2019,4/1/2019,48,10,SOLD,MB-1
L1040,23105,2/25/2019,4/1/2019,36,10.5,SOLD,ONPG
L1041,23107,2/28/2019,4/1/2019,47,7.99,SOLD,ONPG
L1042,23094,2/26/2019,4/1/2019,41,10,SOLD,ONPG
L1043,23096,2/26/2019,4/1/2019,35,11,SOLD,ONPG
L1044,23109,3/14/2019,4/15/2019,42,10.86,SOLD,BC-1
L1045,23112,3/8/2019,4/1/2019,36,9.5,SOLD,MB-1
L1046,23115,3/19/2019,4/15/2019,59,8,SOLD,ONPG
L1047,23117,3/21/2019,4/1/2019,63,7.9,SOLD,ONPG
L1048,23119,4/2/2019,5/1/2019,17,11.9,SOLD,ONPG
L1049,23121,4/10/2019,5/15/2019,47,7,SOLD,BCPG
L1050,23123,3/26/2019,5/1/2019,55,9.5,SOLD,ONPG
L1051,23125,3/27/2019,5/1/2019,25,10,SOLD,ONPG
L1053,23076,4/2/2019,5/1/2019,49,8.98,SOLD,NSPG
L1054,23129,4/1/2019,5/1/2019,61,6.5,SOLD,ONPG
L1055,23043,4/3/2019,5/1/2019,62,7.75,SOLD,ONPG
L1056,23135,4/4/2019,5/1/2019,59,9.2,SOLD,ONPG
L1057,23133,4/4/2019,5/1/2019,41,9,SOLD,ONPG
L1058,23140,5/13/2019,6/15/2019,59,9.5,SOLD,ONPG
L1059,23139,5/6/2019,6/1/2019,18,15.9,SOLD,BC-1
L1060,23137,4/12/2019,5/15/2019,59,9,SOLD,ONPG
L1061,23142,4/17/2019,5/15/2019,58,8.5,SOLD,ONPG
L1062,23145,4/25/2019,6/1/2019,36,8.75,SOLD,ONPG
L1063,23149,5/14/2019,6/15/2019,50,13.25,SOLD,ONPG
L1064,23150,5/13/2019,6/15/2019,59,7.99,SOLD,ONPG
L1065,23153,5/22/2019,6/15/2019,29,7.99,SOLD,NSPG
L1066,23156,5/21/2019,6/15/2019,24,11.99,SOLD,ONPG
L1067,23208,5/29/2019,7/1/2019,35,7.99,SOLD,MB-1
L1068,23063,5/31/2019,7/1/2019,60,7.25,SOLD,MB-1
L1069,23020,6/14/2019,7/15/2019,56,7.99,SOLD,NSPG
L1070,23162,6/7/2019,7/1/2019,60,7.5,SOLD,ONPG
L1071,23164,6/18/2019,7/15/2019,60,8.25,SOLD,ABG
L1072,23119,6/21/2019,7/15/2019,59,9,SOLD,NSPG
L1073,23168,6/21/2019,7/15/2019,63,10,SOLD,ONPG
L1074,23597,7/9/2019,8/1/2019,59,6.9,SOLD,ABG
L1075,23002,7/10/2019,8/1/2019,48,9,SOLD,ONPG
L1076,23173,7/12/2019,8/15/2019,61,11.99,SOLD,ONPG
L1077,23176,7/26/2019,9/1/2019,59,5.99,SOLD,ABG
L1078,23176,7/26/2019,9/1/2019,59,5.99,SOLD,NSPG
L1079,23179,8/9/2019,9/15/2019,59,8.99,SOLD,ABG
L1080,23181,8/1/2019,9/1/2019,47,8.99,SOLD,ONPG
L1081,23183,8/6/2019,9/1/2019,59,5.99,SOLD,ONPG
L1082,23185,8/9/2019,9/15/2019,29,8,SOLD,ONPG
L1083,23187,8/12/2019,9/15/2019,37,8.85,SOLD,ONPG
L1084,23189,8/20/2019,9/15/2019,36,6.99,SOLD,ONPG
L1085,23191,8/23/2019,9/15/2019,29,10.31,SOLD,ONPG
L1086,23193,8/23/2019,9/15/2019,35,9.5,SOLD,ONPG
L1087,23195,9/6/2019,10/1/2019,43,16.14,SOLD,ABG
L1088,23197,8/29/2019,10/1/2019,61,8.99,SOLD,ONPG
L1089,23226,10/11/2019,11/15/2019,59,6.99,SOLD,ONPG
L1090,23199,9/4/2019,10/1/2019,62,6.9,SOLD,ONPG
L1091,23203,9/12/2019,10/15/2019,62,6.9,SOLD,ONPG
L1092,23201,9/10/2019,10/1/2019,29,8.5,SOLD,ONPG
L1093,23208,10/24/2019,11/15/2019,35,8.98,SOLD,MB-1
L1094,23206,9/24/2019,10/15/2019,35,10.18,SOLD,ONPG
L1095,23212,9/17/2019,10/15/2019,35,12,SOLD,ONPG
L1096,23010,9/27/2019,11/1/2019,47,10.25,SOLD,SK-1
L1097,23217,10/3/2019,11/1/2019,59,8.9,SOLD,ONPG
L1098,23163,10/1/2019,10/1/2019,48,1.49,SOLD,ONPG
L1099,23221,10/8/2019,11/1/2019,35,11.99,SOLD,ONPG
L1100,23064,9/15/2019,9/15/2019,51,9.1,SOLD,ONPG
L1101,23224,10/7/2019,11/1/2019,59,9,SOLD,MB-1
L1102,23229,10/22/2019,11/15/2019,47,7.5,SOLD,ONPG
L1103,23231,10/22/2019,11/15/2019,23,12.9,SOLD,ONPG
L1104,23234,11/20/2019,12/15/2019,32,10.25,SOLD,ONPG
L1105,23208,11/8/2019,12/1/2019,29,8.97,SOLD,MB-1
L1106,23237,11/19/2019,12/15/2019,35,6.99,SOLD,ONPG
L1107,23208,11/28/2019,1/1/2020,35,8.98,SOLD,MB-1
