Lease Number,Payment Date,Amount,Period Number,Type
L1197,7/1/2020,1055.85,1,Rent
L1197,8/1/2020,1055.85,2,Rent
L1197,9/1/2020,1055.85,3,Rent
L1197,10/1/2020,1055.85,4,Rent
L1197,11/1/2020,1055.85,5,Rent
L1197,12/1/2020,1055.85,6,Rent
L1197,1/1/2021,1055.85,7,Rent
L1197,2/1/2021,1055.85,8,Rent
L1197,3/1/2021,1055.85,9,Rent
L1197,4/1/2021,1055.85,10,Rent
L1197,5/1/2021,1055.85,11,Rent
L1197,6/1/2021,1055.85,12,Rent
L1197,7/1/2021,1055.85,13,Rent
L1197,8/1/2021,1055.85,14,Rent
L1197,9/1/2021,1055.85,15,Rent
L1197,10/1/2021,1055.85,16,Rent
L1197,11/1/2021,1055.85,17,Rent
L1197,12/1/2021,1055.85,18,Rent
L1197,1/1/2022,1055.85,19,Rent
L1197,2/1/2022,1055.85,20,Rent
L1197,3/1/2022,1055.85,21,Rent
L1197,4/1/2022,1055.85,22,Rent
L1197,5/1/2022,1055.85,23,Rent
L1197,6/1/2022,1055.85,24,Rent
L1197,7/1/2022,1055.85,25,Rent
L1197,8/1/2022,1055.85,26,Rent
L1197,9/1/2022,1055.85,27,Rent
L1197,10/1/2022,1055.85,28,Rent
L1197,11/1/2022,1055.85,29,Rent
L1197,12/1/2022,1055.85,30,Rent
L1197,1/1/2023,1055.85,31,Rent
L1197,2/1/2023,1055.85,32,Rent
L1197,3/1/2023,1055.85,33,Rent
L1197,4/1/2023,1055.85,34,Rent
L1197,5/1/2023,1055.85,35,Rent
L1197,6/1/2023,1055.85,36,Rent
L1197,7/1/2023,1055.85,37,Rent
L1197,8/1/2023,1055.85,38,Rent
L1197,9/1/2023,1055.85,39,Rent
L1197,10/1/2023,1055.85,40,Rent
L1197,11/1/2023,1055.85,41,Rent
L1197,12/1/2023,1055.85,42,Rent
L1197,1/1/2024,1055.85,43,Rent
L1197,2/1/2024,1055.85,44,Rent
L1197,3/1/2024,1055.85,45,Rent
L1197,4/1/2024,1055.85,46,Rent
L1197,5/1/2024,1055.85,47,Rent
L1197,6/1/2024,10,48,Rent
L1202,8/1/2020,1139.98,1,Rent
L1202,9/1/2020,1139.98,2,Rent
L1202,10/1/2020,1139.98,3,Rent
L1202,11/1/2020,1139.98,4,Rent
L1202,12/1/2020,1139.98,5,Rent
L1202,1/1/2021,1139.98,6,Rent
L1202,2/1/2021,1139.98,7,Rent
L1202,3/1/2021,1139.98,8,Rent
L1202,4/1/2021,1139.98,9,Rent
L1202,5/1/2021,1139.98,10,Rent
L1202,6/1/2021,1139.98,11,Rent
L1202,7/1/2021,1139.98,12,Rent
L1202,8/1/2021,1139.98,13,Rent
L1202,9/1/2021,1139.98,14,Rent
L1202,10/1/2021,1139.98,15,Rent
L1202,11/1/2021,1139.98,16,Rent
L1202,12/1/2021,1139.98,17,Rent
L1202,1/1/2022,1139.98,18,Rent
L1202,2/1/2022,1139.98,19,Rent
L1202,3/1/2022,1139.98,20,Rent
L1202,4/1/2022,1139.98,21,Rent
L1202,5/1/2022,1139.98,22,Rent
L1202,6/1/2022,1139.98,23,Rent
L1202,7/1/2022,1139.98,24,Rent
L1202,8/1/2022,1139.98,25,Rent
L1202,9/1/2022,1139.98,26,Rent
L1202,10/1/2022,1139.98,27,Rent
L1202,11/1/2022,1139.98,28,Rent
L1202,12/1/2022,1139.98,29,Rent
L1202,1/1/2023,1139.98,30,Rent
L1202,2/1/2023,1139.98,31,Rent
L1202,3/1/2023,1139.98,32,Rent
L1202,4/1/2023,1139.98,33,Rent
L1202,5/1/2023,1139.98,34,Rent
L1202,6/1/2023,1139.98,35,Rent
L1202,7/1/2023,1139.98,36,Rent
L1202,8/1/2023,1139.98,37,Rent
L1202,9/1/2023,1139.98,38,Rent
L1202,10/1/2023,1139.98,39,Rent
L1202,11/1/2023,1139.98,40,Rent
L1202,12/1/2023,1139.98,41,Rent
L1202,1/1/2024,1139.98,42,Rent
L1202,2/1/2024,1139.98,43,Rent
L1202,3/1/2024,1139.98,44,Rent
L1202,4/1/2024,1139.98,45,Rent
L1202,5/1/2024,1139.98,46,Rent
L1202,6/1/2024,1139.98,47,Rent
L1202,7/1/2024,1139.98,48,Rent
L1202,8/1/2024,1139.98,49,Rent
L1202,9/1/2024,1139.98,50,Rent
L1202,10/1/2024,1139.98,51,Rent
L1202,11/1/2024,1139.98,52,Rent
L1202,12/1/2024,1139.98,53,Rent
L1202,1/1/2025,1139.98,54,Rent
L1202,2/1/2025,1139.98,55,Rent
L1202,3/1/2025,1139.98,56,Rent
L1202,4/1/2025,1139.98,57,Rent
L1202,5/1/2025,1139.98,58,Rent
L1202,6/1/2025,1139.98,59,Rent
L1202,7/1/2025,13000,60,Rent
L1208,9/1/2020,3227.16,1,Rent
L1208,10/1/2020,3227.16,2,Rent
L1208,11/1/2020,3227.16,3,Rent
L1208,12/1/2020,3227.16,4,Rent
L1208,1/1/2021,3227.16,5,Rent
L1208,2/1/2021,3227.16,6,Rent
L1208,3/1/2021,3227.16,7,Rent
L1208,4/1/2021,3227.16,8,Rent
L1208,5/1/2021,3227.16,9,Rent
L1208,6/1/2021,3227.16,10,Rent
L1208,7/1/2021,3227.16,11,Rent
L1208,8/1/2021,3227.16,12,Rent
L1208,9/1/2021,3227.16,13,Rent
L1208,10/1/2021,3227.16,14,Rent
L1208,11/1/2021,3227.16,15,Rent
L1208,12/1/2021,3227.16,16,Rent
L1208,1/1/2022,3227.16,17,Rent
L1208,2/1/2022,3227.16,18,Rent
L1208,3/1/2022,3227.16,19,Rent
L1208,4/1/2022,3227.16,20,Rent
L1208,5/1/2022,3227.16,21,Rent
L1208,6/1/2022,3227.16,22,Rent
L1208,7/1/2022,3227.16,23,Rent
L1208,8/1/2022,3227.16,24,Rent
L1208,9/1/2022,3227.16,25,Rent
L1208,10/1/2022,3227.16,26,Rent
L1208,11/1/2022,3227.16,27,Rent
L1208,12/1/2022,3227.16,28,Rent
L1208,1/1/2023,3227.16,29,Rent
L1208,2/1/2023,3227.16,30,Rent
L1208,3/1/2023,3227.16,31,Rent
L1208,4/1/2023,3227.16,32,Rent
L1208,5/1/2023,3227.16,33,Rent
L1208,6/1/2023,3227.16,34,Rent
L1208,7/1/2023,3227.16,35,Rent
L1208,8/1/2023,3227.16,36,Rent
L1208,9/1/2023,3227.16,37,Rent
L1208,10/1/2023,3227.16,38,Rent
L1208,11/1/2023,3227.16,39,Rent
L1208,12/1/2023,3227.16,40,Rent
L1208,1/1/2024,3227.16,41,Rent
L1208,2/1/2024,3227.16,42,Rent
L1208,3/1/2024,3227.16,43,Rent
L1208,4/1/2024,3227.16,44,Rent
L1208,5/1/2024,3227.16,45,Rent
L1208,6/1/2024,3227.16,46,Rent
L1208,7/1/2024,3227.16,47,Rent
L1208,8/1/2024,3227.16,48,Rent
L1208,9/1/2024,3227.16,49,Rent
L1208,10/1/2024,3227.16,50,Rent
L1208,11/1/2024,3227.16,51,Rent
L1208,12/1/2024,3227.16,52,Rent
L1208,1/1/2025,3227.16,53,Rent
L1208,2/1/2025,3227.16,54,Rent
L1208,3/1/2025,3227.16,55,Rent
L1208,4/1/2025,3227.16,56,Rent
L1208,5/1/2025,3227.16,57,Rent
L1208,6/1/2025,3227.16,58,Rent
L1208,7/1/2025,3227.16,59,Rent
L1208,8/1/2025,30,60,Rent
L1219,9/1/2020,1484.9,1,Rent
L1219,10/1/2020,1484.9,2,Rent
